step,returns_mean,returns_std,adv_mean,adv_std
1024,-0.6266473531723022,0.6806340217590332,0.06526035070419312,0.7325528860092163
2048,-0.5472198724746704,0.11362309753894806,0.11216302216053009,0.13012635707855225
3072,-0.5006890296936035,0.11332418024539948,0.08997401595115662,0.1261475533246994
4096,-0.44305840134620667,0.09954219311475754,0.08705075085163116,0.11809852719306946
5120,-0.4060499966144562,0.09025276452302933,0.08123160898685455,0.10474634170532227
6144,-0.3612881898880005,0.0876145288348198,0.06227760761976242,0.09896915405988693
7168,-0.3122919797897339,0.07265689224004745,0.05980285257101059,0.08804971724748611
8192,-0.28068962693214417,0.06345866620540619,0.053197648376226425,0.07569810003042221
9216,-0.24302372336387634,0.0579603910446167,0.040244631469249725,0.06788185238838196
10240,-0.20514845848083496,0.045201126486063004,0.038528528064489365,0.056066468358039856
11264,-0.18037636578083038,0.03614310175180435,0.03207001835107803,0.04727732762694359
12288,-0.15342068672180176,0.03051018714904785,0.023830417543649673,0.04151462763547897
13312,-0.12891322374343872,0.02111193537712097,0.020696217194199562,0.03660523146390915
14336,-0.11001630127429962,0.01591794192790985,0.017509356141090393,0.03341689333319664
15360,-0.09419471025466919,0.01216754037886858,0.012821311131119728,0.031912267208099365
16384,-0.07884197682142258,0.010100984014570713,0.009711203165352345,0.03278406709432602
17408,-0.06596627086400986,0.010129737667739391,0.008244210854172707,0.030825547873973846
18432,-0.057024747133255005,0.010103357024490833,0.0052726371213793755,0.034658726304769516
19456,-0.04722832143306732,0.010483368299901485,0.00415538065135479,0.03063526190817356
20480,-0.040440838783979416,0.010802360251545906,0.002841293578967452,0.03194856643676758
21504,-0.03636471927165985,0.008947400376200676,0.0009598517790436745,0.031990453600883484
22528,-0.03339266777038574,0.00985858403146267,-0.0011251638643443584,0.030818091705441475
23552,-0.02973809838294983,0.007136533502489328,1.035034074448049e-05,0.030856408178806305
24576,-0.029668156057596207,0.005887819454073906,-0.00101506058126688,0.028955873101949692
25600,-0.029765766113996506,0.0058630360290408134,-0.001509673660621047,0.02763194590806961
26624,-0.030222712084650993,0.005365218501538038,-0.0014214050024747849,0.026790892705321312
27648,-0.03119436651468277,0.005535566247999668,-0.001435555866919458,0.029117612168192863
28672,-0.03344949334859848,0.00538048567250371,-0.0009367867605760694,0.027978792786598206
29696,-0.03384280949831009,0.005658807698637247,-0.0006773908389732242,0.03016604483127594
30720,-0.034391533583402634,0.011907953768968582,0.0014035161584615707,0.029143517836928368
31744,-0.036704812198877335,0.0046362304128706455,-0.0006887515773996711,0.026224838569760323
32768,-0.0370180606842041,0.0053771501407027245,-0.0008928767056204379,0.026307037100195885
33792,-0.03733101487159729,0.004627394489943981,-0.00036455492954701185,0.026548508554697037
34816,-0.03861537203192711,0.0045249671675264835,-0.0002857667859643698,0.024303872138261795
35840,-0.039852019399404526,0.004372360184788704,-0.00041859818156808615,0.02684398740530014
36864,-0.039317868649959564,0.004157181829214096,-0.0005729487747885287,0.025548873469233513
37888,-0.04050641506910324,0.004815102554857731,-0.00026769429678097367,0.02223190851509571
38912,-0.04167182371020317,0.004623657092452049,-0.00014847757120151073,0.024384137243032455
39936,-0.040241919457912445,0.006194825749844313,0.0003245013067498803,0.025517718866467476
40960,-0.04115604609251022,0.004465486388653517,-0.00022973335580900311,0.023218775168061256
